"행정구역(시군구)별","연령별",2021. 08,2021. 08,2021. 08
"행정구역(시군구)별","연령별",총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국","계",51669716,25766031,25903685
"전국","0세",257499,131904,125595
"전국","1세",283694,145455,138239
"전국","2세",312494,160608,151886
"전국","3세",341766,175377,166389
"전국","4세",377415,193806,183609
"전국","5세",427561,218583,208978
"전국","6세",445094,227939,217155
"전국","7세",440111,225605,214506
"전국","8세",459512,235131,224381
"전국","9세",482039,247548,234491
"전국","10세",490354,252152,238202
"전국","11세",455800,234826,220974
"전국","12세",454600,234006,220594
"전국","13세",485709,249948,235761
"전국","14세",475272,244551,230721
"전국","15세",444217,229590,214627
"전국","16세",445228,230302,214926
"전국","17세",484335,251113,233222
"전국","18세",482792,250422,232370
"전국","19세",515422,268421,247001
"전국","20세",592665,308327,284338
"전국","21세",632015,329341,302674
"전국","22세",621141,324499,296642
"전국","23세",651975,338921,313054
"전국","24세",676448,351283,325165
"전국","25세",694822,365671,329151
"전국","26세",698489,370471,328018
"전국","27세",710672,377332,333340
"전국","28세",722430,383061,339369
"전국","29세",720719,378479,342240
"전국","30세",665311,348116,317195
"전국","31세",649252,341234,308018
"전국","32세",630831,330529,300302
"전국","33세",613577,317123,296454
"전국","34세",620160,318153,302007
"전국","35세",639553,330088,309465
"전국","36세",646869,332508,314361
"전국","37세",691574,353951,337623
"전국","38세",766180,390609,375571
"전국","39세",829882,422217,407665
"전국","40세",839068,429783,409285
"전국","41세",842515,427432,415083
"전국","42세",788332,399523,388809
"전국","43세",752453,382191,370262
"전국","44세",756922,385687,371235
"전국","45세",751911,382677,369234
"전국","46세",805962,408041,397921
"전국","47세",879075,446568,432507
"전국","48세",889195,448773,440422
"전국","49세",887360,453783,433577
"전국","50세",946434,481474,464960
"전국","51세",896951,455062,441889
"전국","52세",937006,471521,465485
"전국","53세",887571,444419,443152
"전국","54세",834447,419387,415060
"전국","55세",826013,423020,402993
"전국","56세",834116,418875,415241
"전국","57세",763977,386097,377880
"전국","58세",859927,438134,421793
"전국","59세",812126,409313,402813
"전국","60세",949880,470804,479076
"전국","61세",898387,441550,456837
"전국","62세",803739,397755,405984
