Timestamp,1. Please indicate your current comfort level with technology.,2. How much technology do you use in the classroom currently?,3. The following technologies are listed in the syllabus. Please indicate how familiar you are with each. [Kahoot],3. The following technologies are listed in the syllabus. Please indicate how familiar you are with each. [Quizzizz],3. The following technologies are listed in the syllabus. Please indicate how familiar you are with each. [Quizlet],3. The following technologies are listed in the syllabus. Please indicate how familiar you are with each. [Plickers],3. The following technologies are listed in the syllabus. Please indicate how familiar you are with each. [BookWidgets],3. The following technologies are listed in the syllabus. Please indicate how familiar you are with each. [Metaverse],3. The following technologies are listed in the syllabus. Please indicate how familiar you are with each. [Padlet],"3-1. KAHOOT! is a game-based learning platform that brings engagement and fun to 1+ billion players every year at school, at work, and at home. Create your own quizzes (kahoots) in seconds, play anywhere, anytime, on your own or with friends, have fun and LEARN!","3-2. QUIZIZZ: Free gamified quizzes for every subject to play in class and at home. Pick an existing quiz or create your own for review, formative assessment, and more.","3-3. QUIZLET: Quizlet makes simple learning tools that let you study anything. Start learning today with flashcards, games and learning tools — all for free.","3-4. PLICKERS: Plickers lets you poll your class for free, without the need for student devices. Just give each student a card (a “paper clicker”), and use your Android smartphone or tablet to scan them to do instant checks-for-understanding, exit tickets, and impromptu polls.","3-5. BOOKWIDGETS: Create interactive exercises and automatically graded test, assign them to your students, and give constructive feedback. (GC integration).",3-6. METAVERSE: Create Magic In Your Classroom. Thousands of teachers and students are creating AR (Augmented Reality) in their classrooms. It is so easy to create that grade school kids can do it.,"3-7. PADLET: From your hobby to your career, your class notes to your final exam, your mood board to your runway show, padlets help you organize your life. Padlet is a canvas to create beautiful projects that are easy to share and collaborate on. It works like a piece of paper.",4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [Google Classroom],"4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [G Suite (Drive, Docs, Slides, Sheets, Forms, etc)]",4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [Naver Office online],4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [MS Office online],4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [Recording video lessons (YouTube)],4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [Audio / video editing],4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [Graphic design tools (Canva)],4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [Coding tools (Scratch)],4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [Digital Citizenship Lessons],4. The following technologies are NOT listed in the syllabus but are SOME examples of other topics that may be covered. Please indicate your interest in each. [Google Educator Certification],5. Please leave any additional comments or questions below. For example: What did you EXPECT to learn in the Technology course? What did you HOPE to learn?
3/12/2020 15:27:24,3: If you can walk me through it step by step...,3: I make my own PPTs or use PPTs and videos in most lessons.,Used it once or twice,No idea,Used it once or twice,No idea,No idea,Heard of it,No idea,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,I want to learn every techonology you suggested. Especially I wnat to learn technology my students can participate in with their cell phone.
3/12/2020 15:27:57,3: If you can walk me through it step by step...,"4: I also use smartphones, tablets, or laptops with students in class.",Used it once or twice,No idea,Used it once or twice,Heard of it,No idea,No idea,No idea,Interested but unsure,Excited about this!,Interested but unsure,Excited about this!,Excited about this!,Excited about this!,Excited about this!,I REALLY want to try it,I REALLY want to try it,Curious about this,Never heard of it,I REALLY want to try it,Curious about this,Curious about this,Curious about this,Curious about this,I REALLY want to try it,I want to learn about Google classroom.
3/12/2020 15:29:50,1: Technology? Please NO!,3: I make my own PPTs or use PPTs and videos in most lessons.,Heard of it,No idea,No idea,No idea,No idea,No idea,No idea,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Kind of worried and scared about learning to use tech. But I will do my best! Please teach us slowly :)
3/12/2020 15:31:51,3: If you can walk me through it step by step...,"2: If I have to, sometimes I show a video...",Used it once or twice,No idea,No idea,No idea,No idea,Used it once or twice,No idea,Interested but unsure,Excited about this!,Interested but unsure,Interested but unsure,Interested but unsure,Looks boring,Excited about this!,Curious about this,Never heard of it,I REALLY want to try it,Curious about this,Never heard of it,Curious about this,I REALLY want to try it,Never heard of it,Curious about this,I REALLY want to try it,get used to new technology
3/12/2020 15:31:53,3: If you can walk me through it step by step...,"2: If I have to, sometimes I show a video...",Used it once or twice,No idea,No idea,Used it once or twice,No idea,No idea,Used it once or twice,Interested but unsure,Excited about this!,Excited about this!,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Simple and esay tools to use in classroom^^
3/12/2020 15:32:01,2: Let someone else do it...,3: I make my own PPTs or use PPTs and videos in most lessons.,Heard of it,No idea,Heard of it,No idea,No idea,No idea,Heard of it,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Never heard of it,Curious about this,Never heard of it,I REALLY want to try it,I REALLY want to try it,I REALLY want to try it,Never heard of it,Curious about this,Curious about this,Curious about this,
3/12/2020 15:32:13,3: If you can walk me through it step by step...,"2: If I have to, sometimes I show a video...",Heard of it,Heard of it,Heard of it,Heard of it,No idea,No idea,Heard of it,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Interested but unsure,Looks boring,Excited about this!,I REALLY want to try it,I REALLY want to try it,Curious about this,Curious about this,I REALLY want to try it,I REALLY want to try it,Curious about this,Curious about this,Never heard of it,Curious about this,
3/12/2020 15:32:46,4: I'm comfortable with using technology in class.,"2: If I have to, sometimes I show a video...",No idea,No idea,No idea,No idea,No idea,No idea,No idea,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,Interested but unsure,I REALLY want to try it,I REALLY want to try it,Curious about this,Curious about this,I REALLY want to try it,Curious about this,I REALLY want to try it,Curious about this,Curious about this,Curious about this,
3/12/2020 15:32:49,3: If you can walk me through it step by step...,3: I make my own PPTs or use PPTs and videos in most lessons.,No idea,No idea,Heard of it,No idea,No idea,No idea,No idea,Interested but unsure,Interested but unsure,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Interested but unsure,I REALLY want to try it,Never heard of it,Never heard of it,Never heard of it,I REALLY want to try it,Curious about this,Never heard of it,Never heard of it,Never heard of it,Never heard of it,I am ready to learn your teaching willingly.
3/12/2020 15:34:04,3: If you can walk me through it step by step...,"2: If I have to, sometimes I show a video...",No idea,No idea,No idea,No idea,No idea,No idea,No idea,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Excited about this!,Never heard of it,Never heard of it,Never heard of it,I REALLY want to try it,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,Curious about this,
