Timestamp,I am a,I teach at a,Medium or small cities,1) People who continue to learn into adulthood are less likely to lose their jobs.,"2) To be successful at work, you must constantly improve your knowledge and skills.",3) Employers are responsible for the training of their employees.,"4) It is my responsibility to take a personal role in my own continuing education (by reading books, taking online courses, attending trainings and conferences, etc.)",5) You cannot learn the skills you need at work in school.,6) Education and training help you lead a better daily life.,7) Learning new things is very enjoyable.,8) You can gain confidence through learning.,9) Adult learners must be prepared to pay something for their learning.,10) My attitude toward lifelong learning has changed as a result of the COVID-19 pandemic.,1) I am familiar with digital tools that can help diversify teaching.,"2) I am, in general, confident when using digital tools.",3) I find it easy to become familiar with new digital tools.,4) I can use digital tools that are appropriate for the aspects of the subjects I am teaching.,5) It is difficult to use digital tools as an educational resource within my subject. REV.,"6) When I am using digital tools, it is difficult to adjust the content to the individual student’s needs. REV.",7) I have no clear idea of the learning outcome when using digital tools in my teaching. REV.,8) I use digital tools when giving feedback to students.,9) My students are more knowledgeable about digital tools for education than I am.,10) The COVID-19 pandemic has caused me to learn more about digital tools for education.,"1) When I use digital tools in my teaching, I find it adds value.",2) The use of digital tools is essential for good teaching.,3) Society’s expectations of the impact of digital tools are exaggerated. REV.,4) Expectations related to the use of digital tools in education frustrate me. REV.,"5) In professional debates at our organization, the expectations of the impact of digital tools are exaggerated. REV.",6) The use of digital tools is disruptive for the relationship between student and teacher. REV.,7) Digital tools can make the students more interested in the subject I am teaching.,8) I like testing new digital tools in my teaching.,9) I feel like I am constantly struggling with learning or using new digital tools for education.,10) Teachers need continuing education about technology.,1) Digital tools for testing with multiple choice questions,"2) Moodle, Canvas, Fronter, Google Classroom, or your own schools’s LMS (learning management system)",3) Digital tools for presentation (like PowerPoint or Prezi),4) Word processor (like Hangul or Word),5) Spreadsheets (like Excel),6) Use of video in class or assignments,7) Creating a film/video/animation,8) Online discussions for class,"9) Online meetings (like Zoom, Webex, Google Meet, Lync, Adobe Connect, or Skype)",10) Production of a Wiki (website that allows collaborative modification) ,"11) Video screen capture (like Camtasia, OBS, or Mediasite)",12) Programs for scientific analyses,"13) Student response systems (online questions answered by phone or computers, like Kahoot! or Socrative)",14) Tools for collaborative writing (like Google Docs or Google Slides),"15) Social media (like Facebook, Twitter, or KakaoTalk) for class",16) The Internet as a source of knowledge,"17) Audio recording or editing programs (like Audacity, GarageBand, or Adobe Audition)","18) Production of a class website or blog (like Google Sites, WordPress, Medium, or Naver cafe)","19) Amount of time, effort, or digital tools I used BEFORE the COVID-19 pandemic.","20) Amount of time, effort, or digital tools I NOW use or will continue to use during and after the COVID-19 pandemic."
time,nation,job,location,att_learning,att_work,att_employers,att_me,att_school,att_life,att_enjoyable,att_confidence,att_pay,att_covid,pdc_diverse,pdc_confidence,pdc_familiarity,pdc_appropriate,pdc_difficult,pdc_adjust,pdc_outcome,pdc_feedback,pdc_students,pdc_covid,pro_teaching,pro_essential,pro_society,pro_expectations,pro_organization,pro_disruptive,pro_interest,pro_testing,pro_struggling,pro_education,tools_testing,tools_lms,tools_ppt,tools_doc,tools_xls,tools_video,tools_youtube,tools_discussions,tools_zoom,tools_wiki,tools_obs,tools_science,tools_responses,tools_collab,tools_sns,tools_internet,tools_audio,tools_blog,tools_before,tools_after
2021. 10. 14 pm 12:17:10,Non-Korean,Academy (hagwon),A medium or small city,5,4,4,5,2,5,5,5,4,1,3,3,3,4,3,4,5,2,5,5,2,1,3,4,2,2,4,3,2,4,1,3,3,5,2,4,1,3,2,1,1,1,2,1,3,4,2,1,2,3
2021. 10. 14 pm 8:50:05,Non-Korean,Academy (hagwon),A medium or small city,4,3,3,5,4,3,5,5,5,1,2,3,2,3,3,4,3,2,4,4,3,3,3,3,2,4,4,3,3,4,2,1,3,4,2,4,1,2,2,1,1,1,1,1,1,3,1,1,3,3
2021. 10. 14 pm 2:50:20,Non-Korean,Company or Other location,A medium or small city,3,4,4,5,3,4,5,5,3,1,5,4,3,5,1,2,1,1,1,2,5,1,4,1,2,1,1,2,2,5,1,3,5,1,5,4,1,1,4,1,1,1,1,4,1,5,1,1,3,3
2021. 10. 14 pm 12:01:33,Korean,Kindergarten or elementary school,A medium or small city,4,5,5,4,5,4,3,4,4,3,4,4,4,4,2,2,1,2,2,4,4,3,2,2,2,2,4,4,2,5,4,2,5,4,3,5,4,1,2,1,3,1,4,1,1,3,1,3,3,4
2021. 10. 14 pm 1:07:06,Korean,Kindergarten or elementary school,A medium or small city,5,5,4,4,4,5,3,4,4,3,4,3,2,3,2,4,3,,4,5,5,4,3,3,3,2,4,4,5,5,3,5,5,5,2,5,4,4,4,5,4,3,3,4,4,5,4,4,2,5
2021. 10. 14 pm 4:37:25,Korean,Kindergarten or elementary school,A medium or small city,4,5,4,3,3,5,2,4,4,3,3,3,3,4,1,2,2,2,1,5,3,3,4,2,3,2,3,2,1,4,2,4,5,4,1,2,3,1,4,1,3,1,3,1,2,4,3,2,3,4
2021. 10. 14 pm 5:52:42,Korean,Kindergarten or elementary school,A medium or small city,4,4,4,5,3,5,4,4,4,2,3,4,4,4,2,5,3,1,2,5,4,3,4,2,5,1,3,4,3,5,1,4,5,4,3,5,3,2,3,2,4,2,4,3,2,5,2,4,3,4
2021. 10. 15 pm 12:13:30,Korean,Kindergarten or elementary school,A medium or small city,5,5,5,1,4,5,5,5,5,3,5,5,5,5,1,1,1,5,5,5,5,5,1,1,1,1,5,5,1,5,5,4,5,3,2,4,4,4,4,2,5,2,5,5,2,5,5,3,5,5
2021. 10. 15 pm 1:15:09,Korean,Kindergarten or elementary school,A medium or small city,4,3,4,5,3,3,3,5,5,4,2,2,1,3,4,4,2,2,3,4,4,3,4,4,4,2,3,1,5,5,4,2,5,5,2,2,1,1,2,3,3,1,1,3,1,5,2,4,5,5
